run,type,module,name,attrname,attrvalue,vectime,vecvalue
Default-0-20230507-22:17:11-149797,runattr,,,configname,Default,,
Default-0-20230507-22:17:11-149797,runattr,,,datetime,20230507-22:17:11,,
Default-0-20230507-22:17:11-149797,runattr,,,datetimef,20230507-221711,,
Default-0-20230507-22:17:11-149797,runattr,,,experiment,Default,,
Default-0-20230507-22:17:11-149797,runattr,,,inifile,omnetpp.ini,,
Default-0-20230507-22:17:11-149797,runattr,,,iterationvars,,,
Default-0-20230507-22:17:11-149797,runattr,,,iterationvarsd,,,
Default-0-20230507-22:17:11-149797,runattr,,,iterationvarsf,,,
Default-0-20230507-22:17:11-149797,runattr,,,measurement,,,
Default-0-20230507-22:17:11-149797,runattr,,,network,pavillonsNetwork,,
Default-0-20230507-22:17:11-149797,runattr,,,processid,149797,,
Default-0-20230507-22:17:11-149797,runattr,,,repetition,0,,
Default-0-20230507-22:17:11-149797,runattr,,,replication,#0,,
Default-0-20230507-22:17:11-149797,runattr,,,resultdir,results,,
Default-0-20230507-22:17:11-149797,runattr,,,runnumber,0,,
Default-0-20230507-22:17:11-149797,runattr,,,seedset,0,,
Default-0-20230507-22:17:11-149797,config,,,image-path,../veins-veins-5.2/images,,
Default-0-20230507-22:17:11-149797,config,,,cmdenv-express-mode,true,,
Default-0-20230507-22:17:11-149797,config,,,cmdenv-autoflush,true,,
Default-0-20230507-22:17:11-149797,config,,,cmdenv-status-frequency,1s,,
Default-0-20230507-22:17:11-149797,config,,,**.cmdenv-log-level,info,,
Default-0-20230507-22:17:11-149797,config,,,image-path,../../images,,
Default-0-20230507-22:17:11-149797,config,,,network,pavillonsNetwork,,
Default-0-20230507-22:17:11-149797,config,,,debug-on-errors,true,,
Default-0-20230507-22:17:11-149797,config,,,print-undisposed,true,,
Default-0-20230507-22:17:11-149797,config,,,sim-time-limit,200s,,
Default-0-20230507-22:17:11-149797,config,,,**.scalar-recording,true,,
Default-0-20230507-22:17:11-149797,config,,,**.vector-recording,true,,
Default-0-20230507-22:17:11-149797,config,,,*.playgroundSizeX,2500m,,
Default-0-20230507-22:17:11-149797,config,,,*.playgroundSizeY,2500m,,
Default-0-20230507-22:17:11-149797,config,,,*.playgroundSizeZ,50m,,
Default-0-20230507-22:17:11-149797,config,,,*.annotations.draw,true,,
Default-0-20230507-22:17:11-149797,config,,,*.obstacles.debug,false,,
Default-0-20230507-22:17:11-149797,config,,,*.manager.updateInterval,1s,,
Default-0-20230507-22:17:11-149797,config,,,*.manager.host,"""localhost""",,
Default-0-20230507-22:17:11-149797,config,,,*.manager.port,9999,,
Default-0-20230507-22:17:11-149797,config,,,*.manager.autoShutdown,true,,
Default-0-20230507-22:17:11-149797,config,,,*.manager.launchConfig,"xmldoc(""pavillons.launchd.xml"")",,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[0].mobility.x,2000,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[0].mobility.y,2000,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[0].mobility.z,3,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].applType,"""TraCIDemoRSU11p""",,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.headerLength,80 bit,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.sendBeacons,false,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.dataOnSch,false,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.beaconInterval,1s,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.beaconUserPriority,7,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].appl.dataUserPriority,5,,
Default-0-20230507-22:17:11-149797,config,,,*.rsu[*].nic.phy80211p.antennaOffsetZ,0 m,,
Default-0-20230507-22:17:11-149797,config,,,*.connectionManager.sendDirect,true,,
Default-0-20230507-22:17:11-149797,config,,,*.connectionManager.maxInterfDist,2600m,,
Default-0-20230507-22:17:11-149797,config,,,*.connectionManager.drawMaxIntfDist,false,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.mac1609_4.useServiceChannel,false,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.mac1609_4.txPower,20mW,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.mac1609_4.bitrate,6Mbps,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.useNoiseFloor,true,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.noiseFloor,-98dBm,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.usePropagationDelay,true,,
Default-0-20230507-22:17:11-149797,config,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].nic.phy80211p.antennaOffsetY,0 m,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].nic.phy80211p.antennaOffsetZ,1.895 m,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].applType,"""MyVeinsApp""",,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].appl.headerLength,80 bit,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].appl.sendBeacons,false,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].appl.dataOnSch,false,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].appl.beaconInterval,1s,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].veinsmobility.x,0,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].veinsmobility.y,0,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].veinsmobility.z,0,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*].veinsmobility.setHostSpeed,false,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*0].veinsmobility.accidentCount,10,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*0].veinsmobility.accidentStart,5s,,
Default-0-20230507-22:17:11-149797,config,,,*.node[*0].veinsmobility.accidentDuration,20s,,
Default-0-20230507-22:17:11-149797,vector,pavillonsNetwork.node[0].veinsmobility,speed,,,"2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47","2.2737992957234 3.9890547512332 6.5291301838355 8.7118647777243 4.2118647777243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.941332142381 3.652484015096 5.5142033182085 7.5647496272577 9.8451900733402 11.960262259911 8.5338363204128 5.0067419406003 3.5876213562515 3.352011410457 4.8208500383728 7.0377855321 8.9760599721995 10.614266691341 12.190931525741 13.495539086808 15.479272531236 17.668021462772 19.272923776468 21.773722997944 24.10272429982 23.891807656027"
