speed pavillonsNetwork.node[0].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[7].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[10].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[13].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),,speed pavillonsNetwork.node[16].veinsmobility (#0 - Default-0-20230517-21:30:03-78765),
2,2.273799295723399887,9,2.44864918787499962,14,2.276243982044999993,17,1.313407778460499825,19,1.762613410479399781
3,3.989054751233199515,10,4.26362379200289963,15,3.890745354536900157,18,2.978946318570499392,20,3.170542035950299807
4,6.529130183835500005,11,6.61541393415540033,16,6.22433109183329944,19,5.523221233231000205,21,5.27556899760380025
5,8.711864777724297635,12,3.824443009566000015,17,8.41733107632029839,20,5.840898756927799675,22,7.59183502597729995
6,4.211864777724299442,13,0.575151224203209963,18,3.917331076320300187,21,1.340898756927799692,23,9.197227869359700465
7,0,14,0.385369097632960009,19,0,22,0.22191272096840997,24,9.52708387336689805
8,0,15,0.085107732230221999,20,0,23,0.005043430197761199,25,9.846444203718498
9,0,16,0.014556276517151998,21,0,24,0.000625838455893569,26,9.223209747336699815
10,0,17,0.002176036920008599,22,0,25,0,27,8.807799991094398675
11,0,18,0.00018805881409505,23,0,26,0,28,9.140851427908000165
12,0,19,0,24,0,27,0,29,9.60852975655809867
13,0,20,0,25,0,28,0,30,9.27909808879709882
14,0,21,0,26,0,29,0,31,8.769913866477999385
15,0,22,0,27,0,30,0,32,8.85357855238479981
16,0,23,0,28,0,31,0,33,9.15354391337830005
17,0,24,0,29,0,32,0,34,10.0285116675909975
18,0,25,0,30,0,33,0,35,9.48689952163489988
19,0,26,0,31,0,34,0,36,9.82906823236490009
20,0,27,0,32,0,35,0,37,9.73529386314559981
21,0,28,0,33,0,36,0,38,8.792593651208999675
22,0,29,0,34,0,37,0,39,9.96483109434129941
23,0,30,0,35,0,38,0,40,9.37188773093739865
24,0,31,0,36,0,39,0,41,9.75831618731839963
25,0,32,0,37,0,40,0,42,9.58455289762000003
26,0,33,0,38,0,41,0,43,8.798079216563998235
27,0,34,0,39,0,42,0,44,9.066981787504598565
28,0,35,0,40,0,43,0,45,9.42182274289890028
29,0,36,0,41,0,44,0,46,9.001535562300098515
30,0,37,0,42,0,45,0,47,9.04348947963669754
31,0,38,0,43,0,46,0,48,6.46477793110639885
32,0,39,0,44,0,47,0,49,6.506812140626099225
33,0,40,0,45,0,48,0,50,6.32651357858089899
34,0,41,0,46,0,49,0,51,8.538996890421199
35,0,42,0,47,0,50,0,52,10.04147180315599993
36,0,43,0,48,0,51,0,53,9.09369890900789809
37,0,44,0,49,0,52,0,54,9.20983119382519885
38,0,45,0,50,0,53,0,55,9.46283807155199947
39,0,46,0,51,0,54,0,56,9.94003654098129981
40,0,47,0,52,0,55,0,57,5.93858117320730014
41,0,48,0,53,0,56,0,58,7.7730136777661993
42,0,49,0,54,0,57,0,59,9.85533159260170063
43,0,50,0,55,0,58,0,60,9.70858932828059901
44,0,51,0,56,0,59,0,61,7.342439051121498715
45,0,52,0,57,0,60,0,62,4.440606498210700055
46,0,53,0,58,0,61,0,63,3.648848588640599452
47,0,54,0,59,0,62,0,64,3.803441259210699405
48,0,55,0,60,0,63,0,65,3.41036213137379994
49,0,56,0,61,0,64,0,66,5.42490637036210008
50,0,57,1.474385657746700045,62,0,65,0,67,7.26282876102889926
51,0,58,3.829405685843299862,63,0,66,0,68,9.55402518028099831
52,0,59,5.15569191747659869,64,0,67,0,69,11.29662293039000072
53,0,60,6.677251101428099715,65,0,68,0,70,13.16470455852499903
54,0,61,8.81050538807489754,66,0,69,1.272053123036899875,71,12.93377995315199765
55,0,62,10.77034951704899864,67,0,70,3.39462606676810007,72,8.80910241661939959
56,2.33519429448059944,63,10.47830741867199929,68,1.86450533056629996,71,5.088578572128499265,73,6.112415510179099315
57,3.969308725325399565,64,5.97830741867189983,69,4.17068972648119994,72,7.549549182089599215,74,3.619901409986299595
58,6.02570332973260034,65,4.548181861664799517,70,6.482304009189800075,73,9.84976178715429991,75,5.09728558384970041
59,7.513688524323500285,66,4.135015139366100082,71,8.54332451585209891,74,11.62504562863999875,76,6.85359935127350003
60,8.898258426645799755,67,1.754689251176199775,72,10.74488989750399876,75,13.55683443528100078,,
61,10.81369432310999907,68,1.518529753816399977,73,12.42704957721299757,76,14.28563058593000073,,
62,9.7248189063836001,69,2.27449262206079971,74,14.70640538372099821,77,13.42258004334500038,,
63,5.224818906383600125,70,3.743331249976700177,75,15.29989714392299751,78,13.46051863297099863,,
64,3.587621356251499782,71,6.10702014664289903,76,15.11321546063199852,79,14.03948097741399786,,
65,3.863072875521999607,72,7.90268163633169959,77,15.24211994528599938,80,13.17323784115900048,,
66,6.080008369249199505,73,10.14566506790999863,78,15.21381697848299902,81,13.93938297080099882,,
67,8.018282809348697505,74,12.24649105559699786,79,14.44033569503000075,82,13.50923126030399852,,
68,9.65648952849009841,75,14.11853693179899943,80,14.97046398970200078,83,13.27261454053400053,,
69,11.23315436288999787,76,16.30186186063699688,81,14.6612430034710001,84,13.71604880388099795,,
70,12.53776192395799777,77,15.36206606250199863,82,14.64560505727200018,85,13.48024152968599761,,
71,14.52149536838599878,78,10.86206606250199864,83,12.70691069912500021,86,10.05647873298999779,,
72,16.71024429992100118,79,6.36206606250209991,84,8.84807036802740039,87,7.46379245190300008,,
73,19.13273634790199643,80,2.790195130636999632,85,6.69938797186689958,88,4.987319344832298975,,
74,20.73763866159900001,81,2.77670872503529952,86,3.033964264921599415,89,3.45141801060989993,,
75,23.0326097139230014,82,2.55584452819180007,87,3.184749198628299627,90,3.51713477892220004,,
76,23.9060057684690007,83,4.76075852709930023,88,5.706669029260700275,91,2.5390053493889999,,
77,24.78954396642699707,,,89,7.99598675290369873,92,4.1835669930314001,,
,,,,90,9.47134950879749833,93,5.888719291611298675,,
,,,,91,11.25351973275400036,94,8.4482493136298977,,
,,,,92,12.5810648858009983,95,9.8749813149670977,,
,,,,93,15.14884040992999907,96,12.10261539437199825,,
,,,,94,15.40279299370400062,97,13.16296993619899775,,
,,,,95,15.21206772965700077,98,14.37936265200999835,,
,,,,96,14.94451083392199913,99,13.91053415995699887,,
,,,,97,14.9103909790319981,100,13.5835832930650006,,
,,,,98,14.3405396802619975,101,13.15400379123400038,,
,,,,99,14.99029344960899828,102,14.34026120670799992,,
,,,,100,15.15560378164899896,103,14.1454576690469977,,
,,,,101,15.01859444536099976,104,14.12970006896799896,,
,,,,102,14.66530919985699902,105,13.89253217708499825,,
,,,,103,14.85861752969599785,106,13.42246568515199808,,
,,,,104,14.9277013672320002,107,13.99366086938099932,,
,,,,105,15.20243935177899878,108,13.740682865798,,
,,,,106,14.94314676614600038,109,13.46934781682399767,,
,,,,107,10.44314676614600043,110,13.30298203928600025,,
,,,,108,9.43621996832639805,111,13.31039768559999808,,
,,,,109,11.14699417257799747,112,10.81883956227899895,,
,,,,110,12.958833806314999,113,8.63294954555729883,,
,,,,111,14.88245355778499852,114,9.27018220161239978,,
,,,,112,11.79007082761399865,115,10.66912609575899748,,
,,,,113,7.290070827614099935,116,12.9331907097219982,,
